№;Фрагмент текста;Словосочетание;Определение;Значение;
;Ведра пустели быстро, и кавалеристы из разных взводов по очереди отправлялись за водой в балку под горой, где в жидкой тени тощих тутовых деревьев доживал свои дни на этой дьявольской жаре мутноватый ручей.;в жидкой тени тощих тутовых деревьев;символ;бессилие природы;
;;доживал свои дни на этой дьявольской жаре;аллегория;тяжкий конец;
;;дьявольской жаре;метафора;невыносимость, тяжесть;
;;мутноватый ручей;символ;поток событий;
;Томление солдат и брань их по адресу разбойников были понятны;Томление и брань;символ;беспокойство, тяжесть;
;Сам он в такой же повязке, но не смоченной, а сухой, расхаживал невдалеке от группы палачей, не сняв даже со своей рубахи накладных серебряных львиных морд, не сняв поножей, меча и ножа. Солнце било прямо в кентуриона, не причиняя ему никакого вреда, и на львиные морды нельзя было взглянуть, глаза выедал ослепительный блеск как бы вскипавшего на солнце серебра.;не сняв накладных серебряных львиных морд, не сняв поножей, меча и ножа.;символ;торжественность, боевая готовность;
;;Солнце било;метафора;"тяжесть воздействия / ""указующий перст""";
;;на львиные морды нельзя было взглянуть; символ;беспощадность, ярость власти;
;;глаза выедал;метафора;сила воздействия, беспощадность, тяжесть;
;;глаза выедал ослепительный блеск;символ;созерцание беспощадности и силы власти;
;; как бы вскипавшего (на солнце серебра);сравнение;тяжесть и сила (жары и происходящего);
;На изуродованном лице Крысобоя не выражалось ни утомления, ни неудовольствия, и казалось, что великан кентурион в силах ходить так весь день, всю ночь и еще день, – словом, столько, сколько будет надо. Все так же ходить, наложив руки на тяжелый с медными бляхами пояс, все так же сурово поглядывая то на столбы с казненными, то на солдат в цепи, все так же равнодушно отбрасывая носком мохнатого сапога попадающиеся ему под ноги выбеленные временем человеческие кости или мелкие кремни.;казалось, что великан кентурион в силах ходить так весь день, всю ночь и еще ден;сравнение;выносливость, сила ;
;;наложив руки на тяжелый с медными бляхами пояс;символ;опора на власть и силу;
;;носком мохнатого сапога;символ;дикость;
;;попадающиеся ему под ноги выбеленные временем человеческие кости;символ;его след в истории (кости убитых);
;Тот человек в капюшоне поместился недалеко от столбов на трехногом табурете и сидел в благодушной неподвижности, изредка, впрочем, от скуки прутиком расковыривая песок.;человек в капюшоне;символ;загадочность, скрытность, тайная сила;
;;в благодушной неподвижности;символ;довольство;
;;от скуки прутиком расковыривая песок;символ;въедливость;
;То, что было сказано о том, что за цепью легионеров не было ни одного человека, не совсем верно. Один-то человек был, но просто не всем он был виден. Он поместился не на той стороне, где был открыт подъем на гору и с которой было удобнее всего видеть казнь, а в стороне северной, там, где холм был не отлог и доступен, а неровен, где были и провалы и щели, там, где, уцепившись в расщелине за проклятую небом безводную землю, пыталось жить больное фиговое деревцо.;не отлог и доступен, а неровен                                    провалы и щели;символ;тяжёлый путь / жизнь в тяжёлых обстоятельствах;
;;уцепившись в расщелине;метафора;последняя надежда;
;;проклятую небом безводную землю;символ;ненавистная земля;
;;пыталось жить больное фиговое деревцо;символ;последняя надежда;
;Именно под ним, вовсе не дающим никакой тени, и утвердился этот единственный зритель, а не участник казни, и сидел на камне с самого начала, то есть вот уже четвертый час. Да, для того чтобы видеть казнь, он выбрал не лучшую, а худшую позицию.;под ним, вовсе не дающим никакой тени;символ;беззащитность;
;;утвердился зритель;метафора;неподвижность, необходимость;
;Ударившего легионера он окинул мутным и совершенно равнодушным ко всему взором, как человек, не чувствительный к физической боли.;мутным и равнодушным взором;;отчаяние, отрешённость, апатия;
;И человек с искаженным от горя лицом вынужден был отказаться от своих попыток прорваться к повозкам, с которых уже сняли столбы.;с искаженным от горя лицом;символ;отчаяние;
;Теперь, сидя на камне, этот чернобородый, с гноящимися от солнца и бессонницы глазами человек тосковал. Он то вздыхал, открывая свой истасканный в скитаниях, из голубого превратившийся в грязно-серый таллиф, и обнажал ушибленную копьем грудь, по которой стекал грязный пот, то в невыносимой муке поднимал глаза в небо, следя за тремя стервятниками, давно уже плававшими в вышине большими кругами в предчувствии скорого пира, то вперял безнадежный взор в желтую землю и видел на ней полуразрушенный собачий череп и бегающих вокруг него ящериц.;истасканный в скитаниях, из голубого превратившийся в грязно-серый таллиф;аллегория;серые небеса (как состояние души);
;;стекал грязный пот;символ;усталость;
;;в невыносимой муке поднимал глаза в небо;символ;безответные воззвания к небесам;
;;следя за тремя стервятниками, давно уже плававшими в вышине большими кругами в предчувствии скорого пира;символ;скорая смерть;
;;вперял безнадежный взор в желтую землю;символ;отчаяние;
;;полуразрушенный собачий череп;символ;бесславная смерть;
;О, я глупец! – бормотал он, раскачиваясь на камне в душевной боли и ногтями царапая смуглую грудь, – глупец, неразумная женщина, трус! Падаль я, а не человек!;ногтями царапая смуглую грудь;символ;ненависть к себе, самонаказание;
;Вечером Матвею идти в Ершалаим не пришлось. Какая-то неожиданная и ужасная хворь поразила его. Его затрясло, тело его наполнилось огнем, он стал стучать зубами и поминутно просить пить.;Его затрясло, тело его наполнилось огнем;символ;наказание;
;Он проклинал себя, выкликая бессмысленные слова, рычал и плевался, поносил своего отца и мать, породивших на свет глупца.;рычал и плевался;символ;безумная ярость;
;Видя, что клятвы и брань не действуют и ничего от этого на солнцепеке не меняется, он сжал сухие кулаки, зажмурившись, вознес их к небу, к солнцу, которое сползало все ниже, удлиняя тени и уходя, чтобы упасть в Средиземное море, и потребовал у бога немедленного чуда. Он требовал, чтобы бог тотчас же послал Иешуа смерть.;сжал сухие кулаки, зажмурившись, вознес их к небу;символ;злость при обращении к небесам;
;;к солнцу, которое сползало все ниже, удлиняя тени и уходя;символ;уменьшение света, но освещение тёмных сторон;
;;упасть в Средиземное море;метафора;развязка;
;Открыв глаза, он убедился в том, что на холме все без изменений, за исключением того, что пылавшие на груди кентуриона пятна потухли. Солнце посылало лучи в спины казнимых, обращенных лицами к Ершалаиму. ;Солнце посылало лучи в спины казнимых, обращенных лицами к Ершалаиму. ;метафора;безответность;
;Тут что-то дунуло в лицо бывшему сборщику и что-то зашелестело у него под ногами. Дунуло еще раз, и тогда, открыв глаза, Левий увидел, что все в мире, под влиянием ли его проклятий или в силу каких-либо других причин, изменилось. Солнце исчезло, не дойдя до моря, в котором тонуло ежевечерне. Поглотив его, по небу с запада поднималась грозно и неуклонно грозовая туча. Края ее уже вскипали белой пеной, черное дымное брюхо отсвечивало желтым. Туча ворчала, и из нее время от времени вываливались огненные нити. По Яффской дороге, по скудной Гионской долине, над шатрами богомольцев, гонимые внезапно поднявшимся ветром, летели пыльные столбы. ;что-то дунуло в лицо;символ;"перемены (""ветер перемен"")";
;;зашелестело под ногами;символ;подвижки, перемены;
;;в котором тонуло ежевечерне;метафора;неуклонный ход событий;
;;Поглотив его;метафора;прерванное постоянство;
;;Края ее уже вскипали белой пеной;аллегория;сила внезапности;
;;черное дымное брюхо отсвечивало желтым;аллегория;угроза;
;;Туча ворчала;метафора;угроза;
;;вываливались огненные нити;метафора;угроза;
;;летели пыльные столбы;символ;приближение угрозы;
;И тут же, глядя на нити огня, раскраивающие тучу, стал просить, чтобы молния ударила в столб Иешуа. В раскаянии глядя в чистое небо, которое еще не пожрала туча и где стервятники ложились на крыло, чтобы уходить от грозы, Левий подумал, что безумно поспешил со своими проклятиями. ;нити огня, раскраивающие тучу;символ;мощь и бесконтрольность небесных сил;
;;чистое небо, которое еще не пожрала туча;символ;последняя надежда;
;Становилось все темнее. Туча залила уже полнеба, стремясь к Ершалаиму, белые кипящие облака неслись впереди наполненной черной влагой и огнем тучи. ;Туча залила уже полнеба, стремясь к Ершалаиму;символ;приближение апогея;
;;белые кипящие облака неслись впереди наполненной черной влагой и огнем тучи;символ;доля светлого посреди адской расправы, на переднем плане;
;Настала полутьма, и молнии бороздили черное небо. Из него вдруг брызнуло огнем, и крик кентуриона: «Снимай цепь!» – утонул в грохоте. ;Из него вдруг брызнуло огнем;символ;апогей;
;Через несколько минут в дымном зареве грозы, воды и огня на холме остался только один человек. ;в дымном зареве грозы, воды и огня;символ;апогей;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
