num,word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
51,абсорбент,0,0,0,0,0,0,0,0,0,0
52,поглощающий,0,0,0,0,0,0,0,0,0,0
53,поглощение,0,0,0,0,0,0,0,0,0,0
54,воздерживаться,0,0,0,0,0,0,0,0,0,0
55,воздержание,0,0,0,0,0,0,0,0,0,0
56,воздержание,0,0,0,0,0,0,0,0,0,0
57,абстрактный,0,0,0,0,0,0,0,0,0,0
58,абстракция,0,0,0,0,0,0,0,0,0,0
59,абсурд,0,1,0,0,0,0,0,0,0,0
60,нелепость,0,1,0,0,0,0,0,0,0,0
61,изобилие,1,1,0,1,1,0,1,0,0,1
62,обильный,1,0,0,0,0,0,1,0,0,0
63,злоупотребление,0,1,1,0,1,1,0,1,0,0
64,опора,0,0,0,0,0,0,0,0,0,0
65,абы,0,0,0,0,0,0,0,0,0,0
66,ужасный,0,1,0,0,0,0,0,1,0,0
67,пропасть,0,1,0,0,0,1,0,1,0,0
68,учебный,1,0,0,0,0,0,0,0,0,1
69,академия,1,0,0,0,0,0,0,0,0,0
70,присоединяться,0,0,0,0,0,0,0,0,0,0
71,ускорять,0,0,0,1,0,0,0,0,0,0
72,ускорение,0,0,0,0,0,0,0,0,0,0
73,акцент,0,0,0,0,0,0,0,0,0,0
74,акцентировать,0,0,0,0,0,0,0,0,0,0
75,принимать,0,0,0,0,0,0,0,0,0,0
76,приемлемый,1,0,0,0,0,0,0,0,0,0
77,принятие,1,0,0,0,0,0,0,0,0,0
78,доступ,0,0,0,0,0,0,0,0,0,0
79,доступной,1,0,0,0,0,0,0,0,0,0
80,вступление,0,0,0,0,0,0,0,0,0,0
81,аксессуар,0,0,0,0,0,0,0,0,0,0
82,авария,0,1,0,0,0,1,0,1,1,0
83,случайный,0,1,0,0,0,1,0,0,1,0
84,случайно,0,0,0,0,0,0,0,0,1,0
85,акколада,1,0,0,1,0,0,1,0,1,1
86,вмещать,0,0,0,0,0,0,0,0,0,0
87,жилье,1,0,0,0,0,0,0,0,0,0
88,сопровождение,1,0,0,1,0,0,1,0,0,1
89,сопровождать,0,0,0,0,0,0,0,0,0,0
90,сопровождающий,0,0,0,0,0,0,0,0,0,0
91,сообщник,0,0,0,0,0,0,0,0,0,0
92,выполнять,1,0,0,0,0,0,1,0,0,0
93,осуществляется,1,0,0,0,0,0,1,0,0,0
94,достижение,1,0,0,0,0,0,0,0,0,0
95,соглашение,1,0,0,0,0,0,0,0,0,1
96,соответствие,0,0,0,0,0,0,0,0,0,0
97,аккордеон,0,0,0,0,0,0,0,0,0,0
98,счет,0,0,0,0,0,0,0,0,0,1
99,подотчетность,1,0,0,0,0,0,0,0,0,1
100,отчитываться,1,0,0,0,0,0,0,0,0,1
101,бухгалтер,0,0,0,0,0,0,0,0,0,1
102,учет,0,0,0,0,0,0,0,0,0,0
103,счета,0,0,0,0,0,0,0,0,0,1
104,аккредитованный,1,0,0,0,0,0,0,0,0,1
105,аккреция,0,0,0,0,0,0,0,0,0,0
106,нарастать,0,0,0,0,0,0,0,0,0,0
107,Accueil,1,0,0,0,0,0,0,0,0,0
108,накапливать,0,0,0,0,0,0,0,0,0,0
109,накопление,0,0,0,0,0,0,0,0,0,0
110,точность,0,0,0,0,0,0,0,0,0,0
111,точный,1,0,0,0,0,0,0,0,0,1
112,проклятая,0,1,1,0,0,1,0,1,0,0
113,обвинение,0,1,1,0,1,0,0,0,0,0
114,винительный,0,1,0,0,0,0,0,0,0,0
115,обвиняемый,0,1,1,0,0,1,0,0,0,0
116,обвинитель,0,1,1,0,0,1,0,0,0,0
117,обвинение,0,1,1,0,0,1,0,0,0,0
118,привыкший,0,0,0,0,0,0,0,0,0,0
119,туз,1,0,0,0,0,0,0,0,0,0
120,уксусный,0,0,0,0,0,0,0,0,0,0
121,боль,0,1,0,0,0,0,0,1,0,0
122,достигать,1,0,0,0,0,0,1,0,0,1
123,достижение,1,0,0,1,0,0,1,0,0,1
124,болящий,0,1,0,0,0,0,0,1,0,0
125,кислота,0,1,0,0,0,0,0,0,0,0
126,кислотность,0,0,0,0,0,0,0,0,0,0
127,признавать,0,0,0,0,0,0,0,0,0,0
128,признанный,0,0,0,0,0,0,0,0,0,0
129,подтверждение,1,0,0,0,0,0,0,0,0,0
130,верх,0,0,0,0,0,0,0,0,0,0
131,акустическая,0,0,0,0,0,0,0,0,0,0
132,акустика,0,0,0,0,0,0,0,0,0,0
133,познакомить,0,0,0,0,0,0,0,0,0,0
134,знакомство,0,0,0,0,0,0,0,0,0,0
135,знакомый,0,0,0,0,0,0,0,0,0,0
136,согласие,0,0,0,0,0,0,0,0,0,0
137,приобрести,1,0,0,0,0,0,0,0,0,0
138,приобретение,1,0,0,1,0,0,0,0,0,0
139,приобретение,0,0,0,0,0,0,0,0,0,0
140,поглощений,0,0,0,0,0,0,0,0,0,0
141,площадь,0,0,0,0,0,0,0,0,0,0
142,акров,0,0,0,0,0,0,0,0,0,0
143,акробат,1,0,0,0,0,1,1,0,0,1
144,акт,0,0,0,0,0,0,0,0,0,0
145,действующий,0,0,0,0,0,0,0,0,0,0
146,действие,1,0,0,0,0,0,0,0,0,0
147,действенные,0,1,1,0,1,0,0,0,0,0
148,активный,0,0,0,0,0,0,0,0,0,0
149,деятельность,0,0,0,0,0,0,0,0,0,0
150,актер,0,0,0,0,0,0,0,0,0,0
151,фактический,1,0,0,0,0,0,0,0,0,0
152,действительность,0,0,0,0,0,0,0,0,0,0
153,актуарий,0,0,0,0,0,0,0,0,0,0
154,Острота,1,0,0,0,0,0,0,0,0,0
155,проницательность,1,0,0,0,0,0,0,0,0,0
156,иглоукалывание,0,0,0,0,0,0,0,0,0,0
157,остро,0,0,0,0,0,0,0,0,0,0
158,пословица,0,0,0,0,0,0,0,0,0,0
159,непреклонный,0,0,0,0,0,0,0,0,0,0
160,адаптироваться,1,0,0,0,0,0,0,0,0,0
161,адаптации,1,0,0,0,0,0,0,0,0,0
162,Добавить,0,0,0,0,0,0,0,0,0,0
163,добавленной,0,0,0,0,0,0,0,0,0,0
164,добавление,0,0,0,0,0,0,0,0,0,0
165,сумматор,0,1,1,0,1,1,0,1,0,0
166,зависимость,0,1,0,0,0,0,0,0,0,0
167,дополнение,0,0,0,0,0,0,0,0,0,0
168,дополнительный,0,0,0,0,0,0,0,0,0,0
169,добавка,0,0,0,0,0,0,0,0,0,0
170,адрес,0,0,0,0,0,0,0,0,0,0
171,адресат,0,0,0,0,0,0,0,0,0,0
172,адреса,1,0,0,1,0,0,0,0,0,0
173,знаток,1,0,0,0,0,0,0,0,0,0
174,адекватность,1,0,0,0,0,0,0,0,0,0
175,адекватный,0,0,0,0,0,0,0,0,0,0
176,придерживаться,0,0,0,0,0,0,0,0,0,0
177,соблюдение,0,0,0,0,0,0,0,0,0,0
178,приверженец,0,0,0,0,0,0,0,0,0,0
179,придерживаясь,0,0,0,0,0,0,0,0,0,1
180,адгезия,0,0,0,0,0,0,0,0,0,0
181,клей,0,0,0,0,0,0,0,0,0,0
182,прощайте,0,0,0,0,0,0,0,0,0,0
183,жировой,0,1,0,0,0,0,0,0,0,0
184,соседство,0,0,0,0,0,0,0,0,0,0
185,смежный,0,0,0,0,0,0,0,0,0,0
186,прилагательное,0,0,0,0,0,0,0,0,0,0
187,смежный,0,0,0,0,0,0,0,0,0,0
188,откладывать,0,0,0,0,0,0,0,0,0,0
189,перерыв,0,0,0,0,0,0,0,0,0,0
190,судить,0,1,0,0,0,1,0,0,0,0
191,вынесение судебного решения,0,0,0,0,0,0,0,0,0,0
192,адъюнкт,1,0,0,0,0,0,0,0,0,0
193,регулировать,0,0,0,0,0,0,0,0,0,0
194,регулировка,0,0,0,0,0,0,0,0,0,0
195,адъювант,0,0,0,0,0,0,0,0,0,0
196,управлять,0,0,0,0,0,0,0,0,0,0
197,администрация,0,0,0,0,0,0,0,0,0,0
198,административный,0,0,0,0,0,0,0,0,0,1
199,замечательный,1,0,0,0,0,0,1,0,0,1
200,адмирал,1,0,0,0,0,0,0,0,0,1
201,адмиралтейство,0,0,0,0,0,0,0,0,0,0
202,восхищение,1,0,0,0,0,0,1,0,0,1
203,восхищаться,1,0,0,0,0,0,0,0,0,1
204,поклонник,1,0,0,0,0,0,0,0,0,0
205,допустимость,0,0,0,0,0,0,0,0,0,0
206,допустимый,1,0,0,0,0,0,0,0,0,1
207,вход,0,0,0,0,0,0,0,0,0,0
208,признавать,0,0,0,0,0,0,0,0,0,0
209,вход,0,0,0,0,0,0,0,0,0,0
210,признался,0,0,0,0,0,0,0,0,0,0
211,допускающий,0,0,0,0,0,0,0,0,0,0
212,примесь,0,0,0,0,0,0,0,0,0,0
213,увещевание,0,1,0,0,0,1,0,0,0,0
214,суета,0,0,0,0,0,0,0,0,0,0
215,саман,0,0,0,0,0,0,0,0,0,0
216,подростковый возраст,0,0,0,0,0,0,0,0,0,0
217,подросток,0,0,0,0,0,0,0,0,0,0
218,принять,0,0,0,0,0,0,0,0,0,0
219,принятие,0,0,0,0,0,0,0,0,0,0
220,прелестный,1,0,0,0,0,0,1,0,0,0
221,обожание,1,0,0,0,0,0,1,0,0,1
222,обожать,1,0,0,1,0,0,1,0,0,1
223,украшать,0,0,0,0,0,0,0,0,0,0
224,украшение,0,0,0,0,0,0,0,0,0,0
225,по течению,0,1,0,1,0,1,0,1,0,0
226,для взрослых,0,0,0,0,0,0,0,0,0,0
227,фальсифицированный,0,1,0,0,0,0,0,0,0,0
228,прелюбодеяние,0,1,0,0,1,0,0,1,0,0
229,продвигать,1,0,0,1,0,1,1,0,1,0
230,передовой,1,0,0,0,0,0,0,0,0,0
231,продвижение,1,0,0,0,0,0,0,0,0,0
232,продвижение,0,0,0,0,0,0,0,0,0,0
233,преимущество,1,0,0,0,0,0,0,0,0,0
234,выгодный,1,0,0,0,0,0,0,0,0,0
235,приход,1,0,0,1,0,0,1,0,0,1
236,приключение,1,0,0,1,0,0,0,0,0,0
237,авантюрист,0,0,0,0,0,0,0,0,0,0
238,авантюрный,1,0,0,0,0,0,0,0,0,0
239,противник,0,1,1,0,0,0,0,0,0,0
240,неблагоприятный,0,1,1,0,1,1,0,1,0,0
241,несчастья,0,1,1,0,0,1,0,1,0,0
242,рекламировать,0,0,0,0,0,0,0,0,0,0
243,реклама,0,0,0,0,0,0,0,0,0,0
244,совет,0,0,0,0,0,0,0,0,0,1
245,Желательно,1,0,0,0,0,0,0,0,0,1
246,советовать,1,0,0,0,0,0,0,0,0,1
247,советуют,0,0,0,0,0,0,0,0,0,1
248,совещание суда перед вынесением решения,0,0,0,0,0,0,0,0,0,0
249,советник,1,0,0,0,0,0,0,0,0,1
250,пропаганда,1,0,1,1,0,0,1,0,0,1
251,адвокат,0,0,0,0,0,0,0,0,0,1
252,эгида,0,0,0,0,0,0,0,0,0,0
253,аэрация,0,0,0,0,0,0,0,0,0,0
254,антенна,0,0,0,0,0,0,0,0,0,0
255,аэродром,0,0,0,0,0,0,0,0,0,0
256,аэродинамика,0,0,0,0,0,0,0,0,0,0
257,воздухоплавание,0,0,0,0,0,0,0,0,0,0
258,самолет,0,0,0,0,0,0,0,0,0,0
259,эстетический,1,0,0,0,0,0,0,0,0,0
260,эстетика,1,0,0,0,0,0,1,0,0,0
261,этиология,0,0,0,0,0,0,0,0,0,0
262,издалека,0,0,0,0,0,0,0,0,0,0
263,приветливый,1,0,0,0,0,0,0,0,0,0
264,дело,0,0,0,0,0,0,0,0,0,0
265,затрагивающий,0,0,0,0,0,0,0,0,0,0
266,привязанность,1,0,0,0,0,0,1,0,0,1
267,привязанности,0,0,0,0,0,0,0,0,0,0
268,афиша,0,0,0,0,0,0,0,0,0,0
269,письменное показание под присягой,0,0,0,0,0,0,0,0,0,0
270,аффилированным,1,0,0,0,0,0,0,0,0,0
271,присоединение,0,0,0,0,0,0,0,0,0,0
272,сродство,0,0,0,0,0,0,0,0,0,0
273,утверждать,1,0,0,0,0,0,0,0,0,1
274,утверждение,1,0,0,0,0,0,0,0,0,0
275,утвердительный,1,0,0,0,0,0,0,0,0,0
276,утвердительно,1,0,0,0,0,0,0,0,0,1
277,ставить,0,0,0,0,0,0,0,0,0,0
278,причинять боль,0,1,0,0,0,1,0,1,0,0
279,страдающий,0,1,0,0,0,0,0,0,0,0
280,бедствие,0,1,0,0,1,1,0,1,0,0
281,богатство,1,0,0,0,0,0,1,0,0,0
282,богатый,1,0,0,0,0,0,0,0,0,0
283,позволить себе,1,0,0,0,0,0,0,0,0,0
284,оскорбление,0,1,1,0,1,1,0,1,1,0
285,в поле,0,0,0,0,0,0,0,0,0,0
286,прежде,0,0,0,0,0,0,0,0,0,0
287,вышеупомянутый,0,0,0,0,0,0,0,0,0,0
288,вышеупомянутый,0,0,0,0,0,0,0,0,0,0
289,боюсь,0,1,0,0,0,1,0,0,0,0
290,снова,0,0,0,0,0,0,0,0,0,0
291,кормовой,0,0,0,0,0,0,0,0,0,0
292,последствия,0,1,1,0,1,1,0,1,0,0
293,после полудня,0,0,0,0,0,0,0,0,0,0
294,осадок,0,1,0,0,0,0,0,0,0,0
295,запоздалая мысль,0,0,0,0,0,0,0,0,0,0
296,ага,1,0,0,0,0,1,0,0,0,1
297,агат,0,0,0,0,0,0,0,0,0,0
298,возраст,0,0,0,0,0,0,0,0,0,0
299,пожилой,0,0,0,0,0,0,0,0,0,0
300,агентство,0,0,0,0,0,0,0,0,0,0
301,агент,0,0,0,0,0,0,0,0,0,0
302,агломерация,0,0,0,0,0,0,0,0,0,0
303,усугубленный,0,1,1,0,0,0,0,0,0,0
304,отягчающий,0,1,1,0,0,0,0,1,0,0
305,ухудшение,0,1,1,0,1,0,0,0,0,0
306,совокупный,0,0,0,0,0,0,0,0,0,0
307,агрегация,0,0,0,0,0,0,0,0,0,0
308,агрессия,0,1,1,0,0,1,0,0,0,0
309,агрессивный,0,1,1,0,0,1,0,0,0,0
310,агрессор,0,1,1,0,0,1,0,0,0,0
311,в ужасе,0,1,0,0,1,1,0,0,1,0
312,проворный,1,0,0,0,0,0,0,0,0,0
313,ловкость,1,0,0,0,0,0,0,0,0,0
314,взволнованный,0,1,1,0,0,0,0,0,0,0
315,агитация,0,1,1,0,0,0,0,0,0,0
316,агностик,0,0,0,0,0,0,0,0,0,0
317,назад,0,0,0,0,0,0,0,0,0,0
318,мучительный,0,1,0,0,0,1,0,0,0,0
319,агония,0,1,1,0,0,1,0,1,0,0
320,согласны,1,0,0,0,0,0,0,0,0,0
321,приятный,1,0,0,0,0,0,0,0,0,1
322,решено,1,0,0,0,0,0,0,0,0,1
323,согласившись,1,0,0,0,0,0,0,0,0,1
324,соглашение,1,0,0,0,0,0,0,0,0,1
325,сельскохозяйственное,0,0,0,0,0,0,0,0,0,0
326,сельское хозяйство,1,0,0,0,0,0,0,0,0,0
327,на мели,0,1,0,0,0,0,0,0,0,0
328,Agua,0,0,0,0,0,0,0,0,0,0
329,вперед,1,0,0,0,0,0,0,0,0,0
330,помощь,1,0,0,0,0,0,0,0,0,0
331,помощь,1,0,0,0,0,0,0,0,0,0
332,айыл,0,1,0,0,0,0,0,1,0,0
333,больной,0,1,0,0,0,1,0,1,0,0
334,болезнь,0,0,0,0,0,0,0,0,0,0
335,цель,0,0,0,0,0,0,0,0,0,0
336,бесцельный,0,1,0,0,0,0,0,0,0,0
337,воздуха,0,0,0,0,0,0,0,0,0,0
338,воздушная подушка,0,0,0,0,0,0,0,0,0,0
339,воздушный мост,0,0,0,0,0,0,0,0,0,0
340,авиакомпания,0,0,0,0,0,0,0,0,0,0
341,летчик,0,0,0,0,0,0,0,0,0,0
342,самолет,0,0,0,0,0,0,0,0,0,0
343,аэропорт,0,0,0,1,0,0,0,0,0,0
344,кондиционирования,0,1,0,0,1,0,0,0,0,0
345,дирижабль,0,0,0,0,0,0,0,0,0,0
346,проход,0,0,0,0,0,0,0,0,0,0
347,островок,0,0,0,0,0,0,0,0,0,0
348,приоткрытый,0,0,0,0,0,0,0,0,0,0
349,сродни,0,0,0,0,0,0,0,0,0,1
350,алебастр,1,0,0,0,0,0,0,0,0,0
351,тревога,0,1,0,0,0,1,0,0,1,0
352,тревожный,0,1,0,0,0,1,0,0,1,0
353,стихарь,0,0,0,0,0,0,0,0,0,1
354,альбом,0,0,0,0,0,0,0,0,0,0
355,алхимия,0,0,0,0,0,0,0,0,0,0
356,алкоголь,0,0,0,0,0,0,0,0,0,0
357,алкоголизм,0,1,1,0,1,1,0,1,0,0
358,альков,0,0,0,0,0,0,0,0,0,0
359,тревога,0,0,0,0,0,0,0,0,0,0
360,настороженность,1,0,0,1,0,1,0,0,1,0
361,оповещения,0,0,0,1,0,1,0,0,1,0
362,люцерна,0,0,0,0,0,0,0,0,0,0
363,алгебра,0,0,0,0,0,0,0,0,0,0
364,алгебраическая,0,0,0,0,0,0,0,0,0,0
365,алгоритм,0,0,0,0,0,0,0,0,0,0
366,алиби,0,0,0,0,0,0,0,0,0,0
367,иностранец,0,1,0,0,1,1,0,0,0,0
368,отчуждать,0,1,1,0,1,0,0,0,0,0
369,отчужденный,0,1,0,0,0,0,0,1,0,0
370,отчуждение,0,1,1,0,1,1,0,1,0,0
371,освещенный,0,0,0,0,0,0,0,0,0,0
372,выровненный,0,0,0,0,0,0,0,0,0,0
373,выравнивание,0,0,0,0,0,0,0,0,0,0
374,одинаково,0,0,0,0,0,0,0,0,0,0
375,питание,1,0,0,0,0,0,0,0,0,0
376,алименты,0,1,0,0,0,0,0,0,0,0
377,аликвоту,0,0,0,0,0,0,0,0,0,0
378,живой,1,0,0,1,0,0,1,0,0,1
379,щелочной,0,0,0,0,0,0,0,0,0,0
380,алкалоиды,0,0,0,0,0,0,0,0,0,0
381,смягчать,1,0,0,0,0,0,0,0,0,0
382,утверждение,0,1,1,0,0,0,0,0,0,0
383,утверждать,0,1,0,0,0,0,0,0,0,0
384,мнимый,0,0,0,0,0,0,0,0,0,0
385,верность,1,0,0,0,0,0,0,0,0,1
386,аллегорический,0,0,0,0,0,0,0,0,0,0
387,аллегория,0,0,0,0,0,0,0,0,0,0
388,аллегро,1,0,0,0,0,0,0,0,0,0
389,облегчать,1,0,0,0,0,0,0,0,0,0
390,облегчение,1,0,0,0,0,0,0,0,0,0
391,аллея,0,0,0,0,0,0,0,0,0,0
392,альянс,0,0,0,0,0,0,0,0,0,1
393,союзный,1,0,0,0,0,0,0,0,0,1
394,аллигатор,0,0,0,0,0,0,0,0,0,0
395,выделять,0,0,0,0,0,0,0,0,0,0
396,распределение,0,0,0,0,0,0,0,0,0,0
397,выделять,0,0,0,0,0,0,0,0,0,0
398,выделение,0,0,0,0,0,0,0,0,0,0
399,допустимый,1,0,0,0,0,0,0,0,0,0
400,пособие,0,0,0,0,0,0,0,0,0,0
401,разрешается,0,0,0,0,0,0,0,0,0,0
402,сплав,0,0,0,0,0,0,0,0,0,0
403,очарование,1,0,0,1,0,0,1,0,1,0
404,соблазнительный,1,0,0,0,0,0,0,0,0,0
405,намек,0,0,0,0,0,0,0,0,0,0
406,аллювиальный,0,0,0,0,0,0,0,0,0,0
407,союзник,1,0,0,0,0,0,0,0,0,1
408,альманах,0,0,0,0,0,0,0,0,0,0
409,всемогущий,1,0,0,0,0,0,0,0,0,0
410,вверх,0,0,0,0,0,0,0,0,0,0
411,Алоха,1,0,0,1,0,0,1,0,0,0
412,рядом,0,0,0,0,0,0,0,0,0,0
413,в стороне,0,1,0,0,0,0,0,0,0,0
414,вслух,0,0,0,0,0,0,0,0,0,0
415,алфавит,0,0,0,0,0,0,0,0,0,0
416,алфавитный,0,0,0,0,0,0,0,0,0,0
417,алтарь,0,0,0,0,0,0,0,0,0,0
418,изменять,0,0,0,0,0,0,0,0,0,0
419,изменение,0,0,0,0,0,0,0,0,0,0
420,ссора,0,1,1,0,0,0,0,0,0,0
421,изменены,0,0,0,0,0,0,0,0,0,0
422,заместитель,0,0,0,0,0,0,0,0,0,0
423,альтернатива,0,0,0,0,0,0,0,0,0,0
424,высота,0,0,0,0,0,0,0,0,0,0
425,альт,0,0,0,0,0,0,0,0,0,0
426,в целом,0,0,0,0,0,0,0,0,0,0
427,выпускник,0,0,0,0,0,0,0,0,0,0
428,альвеолярный,0,0,0,0,0,0,0,0,0,0
429,амальгама,0,0,0,0,0,0,0,0,0,0
430,объединение,0,0,0,0,0,0,0,0,0,0
431,накапливать,0,0,0,0,0,0,0,0,0,0
432,любитель,0,0,0,0,0,0,0,0,0,0
433,удивлять,0,0,0,0,0,0,0,0,1,0
434,изумление,0,0,0,0,0,0,0,0,0,0
435,удивительно,1,0,0,0,0,0,1,0,1,0
436,посол,1,0,0,0,0,0,0,0,0,1
437,янтарь,0,0,0,0,0,0,0,0,0,0
438,окружающий,0,0,0,0,0,0,0,0,0,0
439,двусмысленность,0,0,0,0,0,0,0,0,0,0
440,двусмысленный,0,1,0,0,0,0,0,0,0,0
441,сфера,0,0,0,0,0,0,0,0,0,0
442,амбиция,1,0,0,1,0,0,1,0,0,1
443,честолюбивый,0,0,0,0,0,0,0,0,0,0
444,скорая помощь,0,0,0,0,0,1,0,0,0,1
445,засада,0,1,1,0,0,1,0,0,1,0
446,улучшать,1,0,0,0,0,0,0,0,0,0
447,аминь,1,0,0,0,0,0,1,0,0,1
448,поддающийся,1,0,0,0,0,0,0,0,0,0
449,изменить,1,0,0,0,0,0,0,0,0,0
450,поправка,0,0,0,0,0,0,0,0,0,0
451,возмещение,1,0,0,0,0,0,0,0,0,0
452,удобства,1,0,0,0,0,0,0,0,0,0
453,аметист,0,0,0,0,0,0,0,0,0,0
454,любезный,1,0,0,0,0,0,0,0,0,0
455,дружный,1,0,0,0,0,0,1,0,0,0
456,среди,0,0,0,0,0,0,0,0,0,0
457,среди,0,0,0,0,0,0,0,0,0,0
458,аммиак,0,0,0,0,1,0,0,0,0,0
459,боеприпасов,0,0,0,0,0,0,0,0,0,0
460,амнезия,0,1,0,0,0,0,0,0,0,0
461,амнистия,1,0,0,0,0,0,1,0,0,0
462,аморфный,0,0,0,0,0,0,0,0,0,0
463,амортизация,0,0,0,0,0,0,0,0,0,1
464,количество,0,0,0,0,0,0,0,0,0,0
465,любовь,1,0,0,1,0,0,1,0,0,1
466,амперсант,0,0,0,0,0,0,0,0,0,0
467,амфетамины,0,1,0,0,1,0,0,0,0,0
468,амфибия,0,0,0,0,0,0,0,0,0,0
469,десантный,0,0,0,0,0,0,0,0,0,0
470,амфитеатр,0,0,0,0,0,0,0,0,0,0
471,усиление,0,0,0,0,0,0,0,0,0,0
472,усиливать,0,0,0,0,0,0,0,0,0,0
473,амплитуда,0,0,0,0,0,0,0,0,0,0
474,подробно,0,0,0,0,0,0,0,0,0,0
475,ампутация,0,0,0,0,0,0,0,0,0,0
476,амулет,0,0,0,0,0,0,0,0,0,0
477,забавлять,1,0,0,0,0,0,1,0,0,0
478,довольный,1,0,0,0,0,0,1,0,0,0
479,развлечение,1,0,0,0,0,0,1,0,0,0
480,забавный,1,0,0,0,0,0,1,0,0,0
481,изречений,0,0,0,0,0,0,0,0,0,0
482,анаконда,0,1,0,0,1,1,0,0,0,0
483,анестезия,0,0,0,0,0,0,0,0,0,0
484,анестетик,0,0,0,0,0,0,0,0,0,0
485,анальный,0,1,0,0,0,0,0,0,0,0
486,анальгетик,0,0,0,0,0,0,0,0,0,0
487,аналогичный,0,0,0,0,0,0,0,0,0,0
488,аналог,0,0,0,0,0,0,0,0,0,0
489,аналогия,0,0,0,0,0,0,0,0,0,0
490,анализ,0,0,0,0,0,0,0,0,0,0
491,аналитик,1,0,0,1,0,0,0,0,0,1
492,аналитический,0,0,0,0,0,0,0,0,0,0
493,анализировать,0,0,0,0,0,0,0,0,0,0
494,анализатор,0,0,0,0,0,0,0,0,0,0
495,анархизм,0,1,1,0,0,1,0,0,0,0
496,анархист,0,1,1,0,0,1,0,0,0,0
497,анархия,0,1,1,0,0,1,0,0,0,0
498,анастомоз,0,0,0,0,0,0,0,0,0,0
499,анафема,0,1,1,0,1,1,0,1,0,0
500,анатомический,0,0,0,0,0,0,0,0,0,0
501,анатомия,0,0,0,0,0,0,0,0,0,0
502,предок,0,0,0,0,0,0,0,0,0,0
503,наследственный,0,0,0,0,0,0,0,0,0,1
504,родословная,0,0,0,0,0,0,0,0,0,0
505,якорь,1,0,0,0,0,0,0,0,0,0
506,закрепление,1,0,0,0,0,0,0,1,0,0
507,древний,0,1,0,0,0,0,0,0,0,0
508,вспомогательный,0,0,0,0,0,0,0,0,0,0
509,андроген,0,0,0,0,0,0,0,0,0,0
510,анемон,0,0,0,0,0,0,0,0,0,0
511,заново,0,0,0,0,0,0,0,0,0,0
512,ангел,1,0,0,1,0,0,1,0,1,1
513,ангельский,1,0,0,0,0,0,1,0,0,1
514,гнев,0,1,1,0,0,0,0,0,0,0
515,стенокардия,0,1,0,0,0,1,0,0,0,0
516,ангиография,0,0,0,0,0,0,0,0,0,0
